Name,Type1,Type2
bayleef,Grass,
meganium,Grass,
cyndaquil,Fire,
quilava,Fire,
typhlosion,Fire,
totodile,Water,
croconaw,Water,
feraligatr,Water,
sentret,Normal,
furret,Normal,
hoothoot,Normal,Flying
noctowl,Normal,Flying
ledyba,Bug,Flying
ledian,Bug,Flying
spinarak,Bug,Poison
ariados,Bug,Poison
crobat,Poison,Flying
chinchou,Water,Electric
lanturn,Water,Electric
pichu,Electric,
cleffa,Fairy,
igglybuff,Normal,Fairy
togepi,Fairy,
togetic,Fairy,Flying
natu,Psychic,Flying
xatu,Psychic,Flying
mareep,Electric,
flaaffy,Electric,
ampharos,Electric,
bellossom,Grass,
marill,Water,Fairy
azumarill,Water,Fairy
sudowoodo,Rock,
politoed,Water,
hoppip,Grass,Flying
skiploom,Grass,Flying
jumpluff,Grass,Flying
aipom,Normal,
sunkern,Grass,
sunflora,Grass,
yanma,Bug,Flying
wooper,Water,Ground
quagsire,Water,Ground
espeon,Psychic,
umbreon,Dark,
murkrow,Dark,Flying
slowking,Water,Psychic
misdreavus,Ghost,
unown,Psychic,
wobbuffet,Psychic,
girafarig,Normal,Psychic
pineco,Bug,
forretress,Bug,Steel
dunsparce,Normal,
gligar,Ground,Flying
steelix,Steel,Ground
snubbull,Fairy,
granbull,Fairy,
qwilfish,Water,Poison
scizor,Bug,Steel
shuckle,Bug,Rock
heracross,Bug,Fighting
sneasel,Dark,Ice
teddiursa,Normal,
ursaring,Normal,
slugma,Fire,
magcargo,Fire,Rock
swinub,Ice,Ground
piloswine,Ice,Ground
corsola,Water,Rock
remoraid,Water,
octillery,Water,
delibird,Ice,Flying
mantine,Water,Flying
skarmory,Steel,Flying
houndour,Dark,Fire
houndoom,Dark,Fire
kingdra,Water,Dragon
phanpy,Ground,
donphan,Ground,
porygon2,Normal,
stantler,Normal,
smeargle,Normal,
tyrogue,Fighting,
hitmontop,Fighting,
smoochum,Ice,Psychic
elekid,Electric,
magby,Fire,
miltank,Normal,
blissey,Normal,
raikou,Electric,
entei,Fire,
suicune,Water,
larvitar,Rock,Ground
pupitar,Rock,Ground
tyranitar,Rock,Dark
lugia,Psychic,Flying
ho-oh,Fire,Flying
celebi,Psychic,Grass
treecko,Grass,
grovyle,Grass,
sceptile,Grass,
torchic,Fire,
combusken,Fire,Fighting
blaziken,Fire,Fighting
mudkip,Water,
marshtomp,Water,Ground
swampert,Water,Ground
poochyena,Dark,
mightyena,Dark,
zigzagoon,Normal,
linoone,Normal,
wurmple,Bug,
silcoon,Bug,
beautifly,Bug,Flying
cascoon,Bug,
dustox,Bug,Poison
lotad,Water,Grass
lombre,Water,Grass
ludicolo,Water,Grass
seedot,Grass,
nuzleaf,Grass,Dark
shiftry,Grass,Dark
taillow,Normal,Flying
swellow,Normal,Flying
wingull,Water,Flying
pelipper,Water,Flying
ralts,Psychic,Fairy
kirlia,Psychic,Fairy
gardevoir,Psychic,Fairy
surskit,Bug,Water
masquerain,Bug,Flying
shroomish,Grass,
breloom,Grass,Fighting
slakoth,Normal,
vigoroth,Normal,
slaking,Normal,
nincada,Bug,Ground
ninjask,Bug,Flying
shedinja,Bug,Ghost
whismur,Normal,
loudred,Normal,
exploud,Normal,
makuhita,Fighting,
hariyama,Fighting,
azurill,Normal,Fairy
nosepass,Rock,
skitty,Normal,
delcatty,Normal,
sableye,Dark,Ghost
mawile,Steel,Fairy
aron,Steel,Rock
lairon,Steel,Rock
aggron,Steel,Rock
meditite,Fighting,Psychic
medicham,Fighting,Psychic
electrike,Electric,
manectric,Electric,
plusle,Electric,
minun,Electric,
volbeat,Bug,
illumise,Bug,
roselia,Grass,Poison
gulpin,Poison,
swalot,Poison,
carvanha,Water,Dark
sharpedo,Water,Dark
wailmer,Water,
wailord,Water,
numel,Fire,Ground
camerupt,Fire,Ground
torkoal,Fire,
spoink,Psychic,
grumpig,Psychic,
spinda,Normal,
trapinch,Ground,
vibrava,Ground,Dragon
flygon,Ground,Dragon
cacnea,Grass,
cacturne,Grass,Dark
swablu,Normal,Flying
altaria,Dragon,Flying
zangoose,Normal,
seviper,Poison,
lunatone,Rock,Psychic
solrock,Rock,Psychic
barboach,Water,Ground
whiscash,Water,Ground
corphish,Water,
crawdaunt,Water,Dark
baltoy,Ground,Psychic
claydol,Ground,Psychic
lileep,Rock,Grass
cradily,Rock,Grass
anorith,Rock,Bug
armaldo,Rock,Bug
feebas,Water,
milotic,Water,
castform,Normal,
kecleon,Normal,
shuppet,Ghost,
banette,Ghost,
duskull,Ghost,
dusclops,Ghost,
tropius,Grass,Flying
chimecho,Psychic,
absol,Dark,
wynaut,Psychic,
snorunt,Ice,
glalie,Ice,
spheal,Ice,Water
sealeo,Ice,Water
walrein,Ice,Water
clamperl,Water,
huntail,Water,
gorebyss,Water,
relicanth,Water,Rock
luvdisc,Water,
bagon,Dragon,
shelgon,Dragon,
salamence,Dragon,Flying
beldum,Steel,Psychic
metang,Steel,Psychic
metagross,Steel,Psychic
regirock,Rock,
regice,Ice,
registeel,Steel,
latias,Dragon,Psychic
latios,Dragon,Psychic
kyogre,Water,
groudon,Ground,
rayquaza,Dragon,Flying
jirachi,Steel,Psychic
deoxys-normal,Psychic,
turtwig,Grass,
grotle,Grass,
torterra,Grass,Ground
chimchar,Fire,
monferno,Fire,Fighting
infernape,Fire,Fighting
piplup,Water,
prinplup,Water,
empoleon,Water,Steel
starly,Normal,Flying
staravia,Normal,Flying
staraptor,Normal,Flying
bidoof,Normal,
bibarel,Normal,Water
kricketot,Bug,
kricketune,Bug,
shinx,Electric,
luxio,Electric,
luxray,Electric,
budew,Grass,Poison
roserade,Grass,Poison
cranidos,Rock,
rampardos,Rock,
shieldon,Rock,Steel
bastiodon,Rock,Steel
burmy,Bug,
wormadam-plant,Bug,Grass
mothim,Bug,Flying
combee,Bug,Flying
vespiquen,Bug,Flying
pachirisu,Electric,
buizel,Water,
floatzel,Water,
cherubi,Grass,
cherrim,Grass,
shellos,Water,
gastrodon,Water,Ground
ambipom,Normal,
drifloon,Ghost,Flying
drifblim,Ghost,Flying
buneary,Normal,
lopunny,Normal,
mismagius,Ghost,
honchkrow,Dark,Flying
glameow,Normal,
purugly,Normal,
chingling,Psychic,
stunky,Poison,Dark
skuntank,Poison,Dark
bronzor,Steel,Psychic
bronzong,Steel,Psychic
bonsly,Rock,
mime-jr,Psychic,Fairy
happiny,Normal,
chatot,Normal,Flying
spiritomb,Ghost,Dark
gible,Dragon,Ground
gabite,Dragon,Ground
garchomp,Dragon,Ground
munchlax,Normal,
riolu,Fighting,
lucario,Fighting,Steel
hippopotas,Ground,
hippowdon,Ground,
skorupi,Poison,Bug
drapion,Poison,Dark
croagunk,Poison,Fighting
toxicroak,Poison,Fighting
carnivine,Grass,
finneon,Water,
lumineon,Water,
mantyke,Water,Flying
snover,Grass,Ice
abomasnow,Grass,Ice
weavile,Dark,Ice
magnezone,Electric,Steel
lickilicky,Normal,
rhyperior,Ground,Rock
tangrowth,Grass,
electivire,Electric,
magmortar,Fire,
togekiss,Fairy,Flying
yanmega,Bug,Flying
leafeon,Grass,
glaceon,Ice,
gliscor,Ground,Flying
mamoswine,Ice,Ground
porygon-z,Normal,
gallade,Psychic,Fighting
probopass,Rock,Steel
dusknoir,Ghost,
froslass,Ice,Ghost
rotom,Electric,Ghost
uxie,Psychic,
mesprit,Psychic,
azelf,Psychic,
dialga,Steel,Dragon
palkia,Water,Dragon
heatran,Fire,Steel
regigigas,Normal,
giratina-altered,Ghost,Dragon
cresselia,Psychic,
phione,Water,
manaphy,Water,
darkrai,Dark,
shaymin-land,Grass,
arceus,Normal,
victini,Psychic,Fire
snivy,Grass,
servine,Grass,
serperior,Grass,
tepig,Fire,
pignite,Fire,Fighting
emboar,Fire,Fighting
oshawott,Water,
dewott,Water,
samurott,Water,
patrat,Normal,
watchog,Normal,
lillipup,Normal,
herdier,Normal,
stoutland,Normal,
purrloin,Dark,
liepard,Dark,
pansage,Grass,
simisage,Grass,
pansear,Fire,
simisear,Fire,
panpour,Water,
simipour,Water,
munna,Psychic,
musharna,Psychic,
pidove,Normal,Flying
tranquill,Normal,Flying
unfezant,Normal,Flying
blitzle,Electric,
zebstrika,Electric,
roggenrola,Rock,
boldore,Rock,
gigalith,Rock,
woobat,Psychic,Flying
swoobat,Psychic,Flying
drilbur,Ground,
excadrill,Ground,Steel
audino,Normal,
timburr,Fighting,
gurdurr,Fighting,
conkeldurr,Fighting,
tympole,Water,
palpitoad,Water,Ground
seismitoad,Water,Ground
throh,Fighting,
sawk,Fighting,
sewaddle,Bug,Grass
swadloon,Bug,Grass
leavanny,Bug,Grass
venipede,Bug,Poison
whirlipede,Bug,Poison
scolipede,Bug,Poison
cottonee,Grass,Fairy
whimsicott,Grass,Fairy
petilil,Grass,
lilligant,Grass,
basculin-red-striped,Water,
sandile,Ground,Dark
krokorok,Ground,Dark
krookodile,Ground,Dark
darumaka,Fire,
darmanitan-standard,Fire,
maractus,Grass,
dwebble,Bug,Rock
crustle,Bug,Rock
scraggy,Dark,Fighting
scrafty,Dark,Fighting
sigilyph,Psychic,Flying
yamask,Ghost,
cofagrigus,Ghost,
tirtouga,Water,Rock
carracosta,Water,Rock
archen,Rock,Flying
archeops,Rock,Flying
trubbish,Poison,
garbodor,Poison,
zorua,Dark,
zoroark,Dark,
minccino,Normal,
cinccino,Normal,
gothita,Psychic,
gothorita,Psychic,
gothitelle,Psychic,
solosis,Psychic,
duosion,Psychic,
reuniclus,Psychic,
ducklett,Water,Flying
swanna,Water,Flying
vanillite,Ice,
vanillish,Ice,
vanilluxe,Ice,
deerling,Normal,Grass
sawsbuck,Normal,Grass
emolga,Electric,Flying
karrablast,Bug,
escavalier,Bug,Steel
foongus,Grass,Poison
amoonguss,Grass,Poison
frillish,Water,Ghost
jellicent,Water,Ghost
alomomola,Water,
joltik,Bug,Electric
galvantula,Bug,Electric
ferroseed,Grass,Steel
ferrothorn,Grass,Steel
klink,Steel,
klang,Steel,
klinklang,Steel,
tynamo,Electric,
eelektrik,Electric,
eelektross,Electric,
elgyem,Psychic,
beheeyem,Psychic,
litwick,Ghost,Fire
lampent,Ghost,Fire
chandelure,Ghost,Fire
axew,Dragon,
fraxure,Dragon,
haxorus,Dragon,
cubchoo,Ice,
beartic,Ice,
cryogonal,Ice,
shelmet,Bug,
accelgor,Bug,
stunfisk,Ground,Electric
mienfoo,Fighting,
mienshao,Fighting,
druddigon,Dragon,
golett,Ground,Ghost
golurk,Ground,Ghost
pawniard,Dark,Steel
bisharp,Dark,Steel
bouffalant,Normal,
rufflet,Normal,Flying
braviary,Normal,Flying
vullaby,Dark,Flying
mandibuzz,Dark,Flying
heatmor,Fire,
durant,Bug,Steel
deino,Dark,Dragon
zweilous,Dark,Dragon
hydreigon,Dark,Dragon
larvesta,Bug,Fire
volcarona,Bug,Fire
cobalion,Steel,Fighting
terrakion,Rock,Fighting
virizion,Grass,Fighting
tornadus-incarnate,Flying,
thundurus-incarnate,Electric,Flying
reshiram,Dragon,Fire
zekrom,Dragon,Electric
landorus-incarnate,Ground,Flying
kyurem,Dragon,Ice
keldeo-ordinary,Water,Fighting
meloetta-aria,Normal,Psychic
genesect,Bug,Steel
chespin,Grass,
quilladin,Grass,
chesnaught,Grass,Fighting
fennekin,Fire,
braixen,Fire,
delphox,Fire,Psychic
froakie,Water,
frogadier,Water,
greninja,Water,Dark
bunnelby,Normal,
diggersby,Normal,Ground
fletchling,Normal,Flying
fletchinder,Fire,Flying
talonflame,Fire,Flying
scatterbug,Bug,
spewpa,Bug,
vivillon,Bug,Flying
litleo,Fire,Normal
pyroar,Fire,Normal
flabebe,Fairy,
floette,Fairy,
florges,Fairy,
skiddo,Grass,
gogoat,Grass,
pancham,Fighting,
pangoro,Fighting,Dark
furfrou,Normal,
espurr,Psychic,
meowstic-male,Psychic,
honedge,Steel,Ghost
doublade,Steel,Ghost
aegislash-blade,Steel,Ghost
spritzee,Fairy,
aromatisse,Fairy,
swirlix,Fairy,
slurpuff,Fairy,
inkay,Dark,Psychic
malamar,Dark,Psychic
binacle,Rock,Water
barbaracle,Rock,Water
skrelp,Poison,Water
dragalge,Poison,Dragon
clauncher,Water,
clawitzer,Water,
helioptile,Electric,Normal
heliolisk,Electric,Normal
tyrunt,Rock,Dragon
tyrantrum,Rock,Dragon
amaura,Rock,Ice
aurorus,Rock,Ice
sylveon,Fairy,
hawlucha,Fighting,Flying
dedenne,Electric,Fairy
carbink,Rock,Fairy
goomy,Dragon,
sliggoo,Dragon,
goodra,Dragon,
klefki,Steel,Fairy
phantump,Ghost,Grass
trevenant,Ghost,Grass
pumpkaboo-average,Ghost,Grass
gourgeist-average,Ghost,Grass
bergmite,Ice,
avalugg,Ice,
noibat,Flying,Dragon
noivern,Flying,Dragon
xerneas,Fairy,
yveltal,Dark,Flying
zygarde-50,Dragon,Ground
diancie,Rock,Fairy
hoopa-confined,Psychic,Ghost
volcanion,Fire,Water
rowlet,Grass,Flying
dartrix,Grass,Flying
decidueye,Grass,Ghost
litten,Fire,
torracat,Fire,
incineroar,Fire,Dark
popplio,Water,
brionne,Water,
primarina,Water,Fairy
pikipek,Normal,Flying
trumbeak,Normal,Flying
toucannon,Normal,Flying
yungoos,Normal,
gumshoos,Normal,
grubbin,Bug,
charjabug,Bug,Electric
vikavolt,Bug,Electric
crabrawler,Fighting,
crabominable,Fighting,Ice
oricorio-baile,Fire,Flying
cutiefly,Bug,Fairy
ribombee,Bug,Fairy
rockruff,Rock,
lycanroc-midday,Rock,
wishiwashi-solo,Water,
mareanie,Poison,Water
toxapex,Poison,Water
mudbray,Ground,
mudsdale,Ground,
dewpider,Water,Bug
araquanid,Water,Bug
fomantis,Grass,
lurantis,Grass,
morelull,Grass,Fairy
shiinotic,Grass,Fairy
salandit,Poison,Fire
salazzle,Poison,Fire
stufful,Normal,Fighting
bewear,Normal,Fighting
bounsweet,Grass,
steenee,Grass,
tsareena,Grass,
comfey,Fairy,
oranguru,Normal,Psychic
passimian,Fighting,
wimpod,Bug,Water
golisopod,Bug,Water
sandygast,Ghost,Ground
palossand,Ghost,Ground
pyukumuku,Water,
type-null,Normal,
silvally,Normal,
minior-meteor,Rock,Flying
komala,Normal,
turtonator,Fire,Dragon
togedemaru,Electric,Steel
mimikyu,Ghost,Fairy
bruxish,Water,Psychic
drampa,Normal,Dragon
dhelmise,Ghost,Grass
jangmo-o,Dragon,
hakamo-o,Dragon,Fighting
kommo-o,Dragon,Fighting
tapu-koko,Electric,Fairy
tapu-lele,Psychic,Fairy
tapu-bulu,Grass,Fairy
tapu-fini,Water,Fairy
cosmog,Psychic,
cosmoem,Psychic,
solgaleo,Psychic,Steel
lunala,Psychic,Ghost
nihilego,Rock,Poison
buzzwole,Bug,Fighting
pheromosa,Bug,Fighting
xurkitree,Electric,
celesteela,Steel,Flying
kartana,Grass,Steel
guzzlord,Dark,Dragon
necrozma,Psychic,
magearna,Steel,Fairy
marshadow,Fighting,Ghost
poipole,Poison,
naganadel,Poison,Dragon
stakataka,Rock,Steel
blacephalon,Fire,Ghost
zeraora,Electric,
meltan,Steel,
melmetal,Steel,
grookey,Grass,
thwackey,Grass,
rillaboom,Grass,
scorbunny,Fire,
raboot,Fire,
cinderace,Fire,
sobble,Water,
drizzile,Water,
inteleon,Water,
skwovet,Normal,
greedent,Normal,
rookidee,Flying,
corvisquire,Flying,
corviknight,Flying,Steel
blipbug,Bug,
dottler,Bug,Psychic
orbeetle,Bug,Psychic
nickit,Dark,
thievul,Dark,
gossifleur,Grass,
eldegoss,Grass,
wooloo,Normal,
dubwool,Normal,
chewtle,Water,
drednaw,Water,Rock
yamper,Electric,
boltund,Electric,
rolycoly,Rock,
carkol,Rock,Fire
coalossal,Rock,Fire
applin,Grass,Dragon
flapple,Grass,Dragon
appletun,Grass,Dragon
silicobra,Ground,
sandaconda,Ground,
cramorant,Flying,Water
arrokuda,Water,
barraskewda,Water,
toxel,Electric,Poison
toxtricity-amped,Electric,Poison
sizzlipede,Fire,Bug
centiskorch,Fire,Bug
clobbopus,Fighting,
grapploct,Fighting,
sinistea,Ghost,
polteageist,Ghost,
hatenna,Psychic,
hattrem,Psychic,
hatterene,Psychic,Fairy
impidimp,Dark,Fairy
morgrem,Dark,Fairy
grimmsnarl,Dark,Fairy
obstagoon,Dark,Normal
perrserker,Steel,
cursola,Ghost,
sirfetchd,Fighting,
mr-rime,Ice,Psychic
runerigus,Ground,Ghost
milcery,Fairy,
alcremie-vanilla-cream-strawberry,Fairy,
falinks,Fighting,
pincurchin,Electric,
snom,Ice,Bug
frosmoth,Ice,Bug
stonjourner,Rock,
eiscue-ice,Ice,
indeedee-male,Psychic,Normal
morpeko-full-belly,Electric,Dark
cufant,Steel,
copperajah,Steel,
dracozolt,Electric,Dragon
arctozolt,Electric,Ice
dracovish,Water,Dragon
arctovish,Water,Ice
duraludon,Steel,Dragon
dreepy,Dragon,Ghost
drakloak,Dragon,Ghost
dragapult,Dragon,Ghost
zacian-crowned,Fairy,Steel
zamazenta-crowned,Fighting,Steel
eternatus,Poison,Dragon
kubfu,Fighting,
urshifu-single-strike,Fighting,Dark
zarude,Dark,Grass
regieleki,Electric,
regidrago,Dragon,
glastrier,Ice,
spectrier,Ghost,
calyrex,Psychic,Grass
zapdos_1,Electric,Flying
zapdos_2,Electric,Flying
zapdos_3,Electric,Flying
zapdos_4,Electric,Flying
zapdos_5,Electric,Flying
zapdos_6,Electric,Flying
zapdos_7,Electric,Flying
zapdos_8,Electric,Flying
zapdos_9,Electric,Flying
zapdos_10,Electric,Flying
zapdos_11,Electric,Flying
zapdos_12,Electric,Flying
zapdos_13,Electric,Flying
zapdos_14,Electric,Flying
zapdos_15,Electric,Flying
zapdos_16,Electric,Flying
zapdos_17,Electric,Flying
zapdos_18,Electric,Flying
zapdos_19,Electric,Flying
zapdos_20,Electric,Flying
zapdos_21,Electric,Flying
zapdos_22,Electric,Flying
zapdos_23,Electric,Flying
zapdos_24,Electric,Flying
zapdos_25,Electric,Flying
zapdos_26,Electric,Flying
zapdos_27,Electric,Flying
zapdos_28,Electric,Flying
zapdos_29,Electric,Flying
zapdos_30,Electric,Flying
zapdos_31,Electric,Flying
zapdos_32,Electric,Flying
zapdos_33,Electric,Flying
zapdos_34,Electric,Flying
zapdos_35,Electric,Flying
zapdos_36,Electric,Flying
zapdos_37,Electric,Flying
zapdos_38,Electric,Flying
zapdos_39,Electric,Flying
zapdos_40,Electric,Flying
zapdos_41,Electric,Flying
zapdos_42,Electric,Flying
zapdos_43,Electric,Flying
zapdos_44,Electric,Flying
zapdos_45,Electric,Flying
zapdos_46,Electric,Flying
zapdos_47,Electric,Flying
zapdos_48,Electric,Flying
zapdos_49,Electric,Flying
zapdos_50,Electric,Flying
zapdos_51,Electric,Flying
zapdos_52,Electric,Flying
kadabra_1,Psychic,
kadabra_2,Psychic,
kadabra_3,Psychic,
kadabra_4,Psychic,
kadabra_5,Psychic,
kadabra_6,Psychic,
kadabra_7,Psychic,
kadabra_8,Psychic,
kadabra_9,Psychic,
kadabra_10,Psychic,
kadabra_11,Psychic,
kadabra_12,Psychic,
kadabra_13,Psychic,
kadabra_14,Psychic,
kadabra_15,Psychic,
kadabra_16,Psychic,
kadabra_17,Psychic,
kadabra_18,Psychic,
kadabra_19,Psychic,
kadabra_20,Psychic,
kadabra_21,Psychic,
kadabra_22,Psychic,
kadabra_23,Psychic,
kadabra_24,Psychic,
kadabra_25,Psychic,
kadabra_26,Psychic,
kadabra_27,Psychic,
kadabra_28,Psychic,
kadabra_29,Psychic,
kadabra_30,Psychic,
kadabra_31,Psychic,
kadabra_32,Psychic,
kadabra_33,Psychic,
kadabra_34,Psychic,
kadabra_35,Psychic,
kadabra_36,Psychic,
kadabra_37,Psychic,
kadabra_38,Psychic,
kadabra_39,Psychic,
kadabra_40,Psychic,
kadabra_41,Psychic,
kadabra_42,Psychic,
kadabra_43,Psychic,
kadabra_44,Psychic,
kadabra_45,Psychic,
kadabra_46,Psychic,
kadabra_47,Psychic,
kadabra_48,Psychic,
kadabra_49,Psychic,
alolan sandslash_1,Ice,Steel
alolan sandslash_2,Ice,Steel
alolan sandslash_3,Ice,Steel
alolan sandslash_4,Ice,Steel
alolan sandslash_5,Ice,Steel
alolan sandslash_6,Ice,Steel
alolan sandslash_7,Ice,Steel
alolan sandslash_8,Ice,Steel
alolan sandslash_9,Ice,Steel
alolan sandslash_10,Ice,Steel
alolan sandslash_11,Ice,Steel
alolan sandslash_12,Ice,Steel
alolan sandslash_13,Ice,Steel
alolan sandslash_14,Ice,Steel
alolan sandslash_15,Ice,Steel
alolan sandslash_16,Ice,Steel
alolan sandslash_17,Ice,Steel
alolan sandslash_18,Ice,Steel
alolan sandslash_19,Ice,Steel
alolan sandslash_20,Ice,Steel
alolan sandslash_21,Ice,Steel
alolan sandslash_22,Ice,Steel
alolan sandslash_23,Ice,Steel
alolan sandslash_24,Ice,Steel
alolan sandslash_25,Ice,Steel
alolan sandslash_26,Ice,Steel
alolan sandslash_27,Ice,Steel
alolan sandslash_28,Ice,Steel
alolan sandslash_29,Ice,Steel
alolan sandslash_30,Ice,Steel
alolan sandslash_31,Ice,Steel
alolan sandslash_32,Ice,Steel
alolan sandslash_33,Ice,Steel
alolan sandslash_34,Ice,Steel
alolan sandslash_35,Ice,Steel
alolan sandslash_36,Ice,Steel
alolan sandslash_37,Ice,Steel
alolan sandslash_38,Ice,Steel
alolan sandslash_39,Ice,Steel
alolan sandslash_40,Ice,Steel
alolan sandslash_41,Ice,Steel
omanyte_1,Rock,Water
omanyte_2,Rock,Water
omanyte_3,Rock,Water
omanyte_4,Rock,Water
omanyte_5,Rock,Water
omanyte_6,Rock,Water
omanyte_7,Rock,Water
omanyte_8,Rock,Water
omanyte_9,Rock,Water
omanyte_10,Rock,Water
omanyte_11,Rock,Water
omanyte_12,Rock,Water
omanyte_13,Rock,Water
omanyte_14,Rock,Water
omanyte_15,Rock,Water
omanyte_16,Rock,Water
omanyte_17,Rock,Water
omanyte_18,Rock,Water
omanyte_19,Rock,Water
omanyte_20,Rock,Water
omanyte_21,Rock,Water
omanyte_22,Rock,Water
omanyte_23,Rock,Water
omanyte_24,Rock,Water
omanyte_25,Rock,Water
omanyte_26,Rock,Water
omanyte_27,Rock,Water
omanyte_28,Rock,Water
omanyte_29,Rock,Water
omanyte_30,Rock,Water
omanyte_31,Rock,Water
omanyte_32,Rock,Water
omanyte_33,Rock,Water
omanyte_34,Rock,Water
omanyte_35,Rock,Water
omanyte_36,Rock,Water
omanyte_37,Rock,Water
omanyte_38,Rock,Water
omanyte_39,Rock,Water
omanyte_40,Rock,Water
omanyte_41,Rock,Water
omanyte_42,Rock,Water
omanyte_43,Rock,Water
omanyte_44,Rock,Water
omanyte_45,Rock,Water
shellder_1,Water,
shellder_2,Water,
shellder_3,Water,
shellder_4,Water,
shellder_5,Water,
shellder_6,Water,
shellder_7,Water,
shellder_8,Water,
shellder_9,Water,
shellder_10,Water,
shellder_11,Water,
shellder_12,Water,
shellder_13,Water,
shellder_14,Water,
shellder_15,Water,
shellder_16,Water,
shellder_17,Water,
shellder_18,Water,
shellder_19,Water,
shellder_20,Water,
shellder_21,Water,
shellder_22,Water,
shellder_23,Water,
shellder_24,Water,
shellder_25,Water,
shellder_26,Water,
shellder_27,Water,
shellder_28,Water,
shellder_29,Water,
shellder_30,Water,
shellder_31,Water,
shellder_32,Water,
shellder_33,Water,
shellder_34,Water,
shellder_35,Water,
shellder_36,Water,
shellder_37,Water,
shellder_38,Water,
shellder_39,Water,
shellder_40,Water,
shellder_41,Water,
shellder_42,Water,
shellder_43,Water,
shellder_44,Water,
shellder_45,Water,
shellder_46,Water,
bellsprout_1,Grass,Poison
bellsprout_2,Grass,Poison
bellsprout_3,Grass,Poison
bellsprout_4,Grass,Poison
bellsprout_5,Grass,Poison
bellsprout_6,Grass,Poison
bellsprout_7,Grass,Poison
bellsprout_8,Grass,Poison
bellsprout_9,Grass,Poison
bellsprout_10,Grass,Poison
bellsprout_11,Grass,Poison
bellsprout_12,Grass,Poison
bellsprout_13,Grass,Poison
bellsprout_14,Grass,Poison
bellsprout_15,Grass,Poison
bellsprout_16,Grass,Poison
bellsprout_17,Grass,Poison
bellsprout_18,Grass,Poison
bellsprout_19,Grass,Poison
bellsprout_20,Grass,Poison
bellsprout_21,Grass,Poison
